lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E08000026,Coventry,555, 0.31 , 0.12 , 0.57 ,254, 0.31 , -   , 0.59 ,299, 0.31 , 0.14 , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E07000163,Craven,480, 0.20 , 0.10 , 0.70 ,205, 0.15 , -   , 0.73 ,275, 0.23 , -   , 0.68 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000226,Crawley,488, 0.24 , 0.12 , 0.65 ,207, 0.19 , 0.10 , 0.71 ,281, 0.28 , 0.13 , 0.60 ,20-30%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,50-60%
E09000008,Croydon,482, 0.27 , 0.13 , 0.60 ,207, 0.23 , -   , 0.67 ,269, 0.30 , 0.17 , 0.53 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000096,Dacorum,435, 0.21 , 0.13 , 0.66 ,195, 0.22 , 0.13 , 0.66 ,239, 0.20 , 0.13 , 0.67 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E06000005,Darlington,425, 0.21 , 0.14 , 0.64 ,194, 0.22 , 0.14 , 0.64 ,231, 0.21 , -   , 0.65 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,NA,60-70%
E07000107,Dartford,428, 0.22 , 0.16 , 0.63 ,184, 0.16 , 0.17 , 0.67 ,243, 0.27 , 0.15 , 0.58 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000151,Daventry,442, 0.23 , 0.12 , 0.64 ,198, 0.26 , -   , 0.63 ,242, 0.21 , 0.13 , 0.66 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E06000015,Derby,476, 0.23 , 0.13 , 0.65 ,210, 0.18 , -   , 0.66 ,264, 0.27 , -   , 0.64 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,NA,60-70%
E07000035,Derbyshire Dales,525, 0.20 , 0.12 , 0.67 ,239, 0.16 , -   , 0.72 ,285, 0.23 , 0.13 , 0.64 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E08000017,Doncaster,1717, 0.30 , 0.13 , 0.57 ,764, 0.29 , 0.11 , 0.60 ,942, 0.31 , 0.15 , 0.54 ,30-40%,10-20%,50-60%,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%
E07000108,Dover,501, 0.24 , 0.12 , 0.64 ,211, 0.19 , -   , 0.64 ,289, 0.29 , -   , 0.65 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,NA,60-70%
E08000027,Dudley,448, 0.32 , 0.12 , 0.57 ,195, 0.32 , -   , 0.58 ,253, 0.31 , 0.13 , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E09000009,Ealing,522, 0.30 , 0.13 , 0.58 ,226, 0.30 , -   , 0.59 ,291, 0.28 , 0.14 , 0.58 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
E07000009,East Cambridgeshire,468, 0.24 , 0.15 , 0.61 ,204, 0.23 , 0.14 , 0.63 ,262, 0.24 , 0.16 , 0.59 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000040,East Devon,419, 0.19 , 0.09 , 0.72 ,187, 0.17 , -   , 0.76 ,232, 0.21 , -   , 0.68 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000085,East Hampshire,514, 0.21 , 0.13 , 0.67 ,245, 0.20 , 0.13 , 0.67 ,269, 0.21 , 0.12 , 0.66 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%
E07000242,East Hertfordshire,450, 0.19 , 0.13 , 0.68 ,191, 0.20 , -   , 0.66 ,258, 0.19 , 0.12 , 0.69 ,10-20%,10-20%,60-70%,10-20%,NA,60-70%,10-20%,10-20%,60-70%
E07000137,East Lindsey,475, 0.34 , 0.15 , 0.51 ,208, 0.35 , -   , 0.51 ,266, 0.32 , 0.16 , 0.52 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E07000152,East Northamptonshire,528, 0.22 , 0.15 , 0.63 ,246, 0.26 , 0.13 , 0.61 ,281, 0.18 , 0.17 , 0.65 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%
E06000011,East Riding of Yorkshire,449, 0.30 , 0.10 , 0.60 ,214, 0.28 , -   , 0.63 ,234, 0.32 , -   , 0.57 ,30-40%,0-10%,60-70%,20-30%,NA,60-70%,30-40%,NA,50-60%
E07000193,East Staffordshire,496, 0.27 , 0.13 , 0.60 ,202, 0.31 , -   , 0.54 ,292, 0.23 , 0.11 , 0.66 ,20-30%,10-20%,60-70%,30-40%,NA,50-60%,20-30%,10-20%,60-70%
E07000061,Eastbourne,485, 0.27 , 0.10 , 0.64 ,205, 0.23 , -   , 0.70 ,277, 0.30 , 0.11 , 0.58 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000086,Eastleigh,438, 0.25 , 0.14 , 0.61 ,199, 0.28 , -   , 0.61 ,236, 0.20 , 0.18 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000030,Eden,546, 0.22 , 0.10 , 0.69 ,241, 0.24 , -   , 0.68 ,305, 0.20 , 0.11 , 0.69 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000207,Elmbridge,396, 0.15 , 0.12 , 0.72 ,179, 0.13 , -   , 0.74 ,215, 0.17 , -   , 0.72 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,NA,70-80%
E09000010,Enfield,507, 0.25 , 0.11 , 0.64 ,203, 0.19 , -   , 0.69 ,302, 0.29 , 0.11 , 0.60 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,10-20%,60-70%
E07000072,Epping Forest,558, 0.23 , 0.13 , 0.64 ,248, 0.23 , -   , 0.67 ,307, 0.23 , 0.16 , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000208,Epsom and Ewell,568, 0.20 , 0.14 , 0.66 ,242, 0.15 , 0.13 , 0.72 ,325, 0.25 , 0.14 , 0.61 ,20-30%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E07000036,Erewash,542, 0.27 , 0.14 , 0.59 ,250, 0.29 , -   , 0.62 ,291, 0.26 , 0.19 , 0.55 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
